scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Male victim stabbing    NO PERPETRATOR   NO DIALOGUE
1	Family quadruple homicide    NO PERPETRATOR   NO DIALOGUE
2	Scooter tire print lead    Jesse_Overton   [[Jesse_Overton]] i want a lawyer
3	Family quadruple homicide    Jesse_Overton   [[Grissom]] the lawyer 's pleading him guilty
3	Sexual abuse and murder    Tina_Collins   [[Tina_Collins]] my father
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Dead man in tub    NO PERPETRATOR    [[Brass]] ring any bells ?
0	Staged suicide case    NO PERPETRATOR    [[Grissom]] i think the killer has killed again
0	Car crash DUI suspicion    NO PERPETRATOR    [[Nick]] i 'm calling that beer bottle
1	Staged bathtub homicides    NO PERPETRATOR    [[Grissom]] royce harmon did n't fight back
1	Car crash victim Walter Banglor    NO PERPETRATOR    [[Dr._Leever]] he 's sedated
1	Fake suicide recordings    NO PERPETRATOR    [[Catherine]] that is her son 's voice
1	Victims share birthday pattern    NO PERPETRATOR    [[Sara]] both are white males in their 40s , single and ... both have the same birthday
2	Prints on mini-recorder    NO PERPETRATOR    [[Mandy]] well , the top print came back paul millander
2	Paul Millander questioned    Paul_Millander    [[Grissom]] i have a couple of questions regarding that staged suicide
2	Silicon blue dye found    NO PERPETRATOR    [[Greg_Sanders]] your mystery dust is ... silicon blue dye
2	ATM card handoff suspect    NO PERPETRATOR    [[Grissom]] there 's our guy ... handing it off
3	Walter Banglor car crash    NO PERPETRATOR    [[Nick]] the person responsible needs to be brought to justice
3	Paul Millander description    Paul_Millander    [[Grissom]] paul millander he set me up
3	Paul Millander's father death    Paul_Millander    [[Sara]] paul millander , age ten , testified that he watched in the closet while his father ... was found shot to death
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Bomb explosion fatality	Jake Richards	[[Brass]] the only fatality so far is jake richards , a security guard
1	Bombing investigation	Dominic Kretzker	[[Grissom]] dominic kretzker
1	Dead prostitute case	Kristine Marie Hopkins	[[Officer_Arvington]] it 's a 419
1	Bomb timing device	Dominic Kretzker	[[Grissom]] dominic the security guard ?
2	Murder of Kristy Hopkins	NO PERPETRATOR	NO DIALOGUE
2	Bombing at car rental	Norman Stirling	[[Brass]] you were let go by thriftright last year , and lost a court battle to get your job back
3	Kristy Hopkins murder	Jack Willman	[[Nick]] she was going back to college , turning her life around getting out of the business , and you killed her for it !
3	Bombings by Tyler Stirling	Tyler Stirling	[[Tyler_Stirling]] dad , are you mad at me ? I did it for you
3	NO SUMMARY	NO PERPETRATOR	NO DIALOGUE
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Baby kidnapping    NO PERPETRATOR    [[Gwen_Anderson]] i looked in his crib and he was gone
1	Baby kidnapping    NO PERPETRATOR    [[Gwen_Anderson]] i looked in his crib and he was gone
1	Baby found dead    NO PERPETRATOR    [[Gwen_Anderson]] my baby !
2	Baby smothering    NO PERPETRATOR    [[Dr._Albert_Robbins]] manhandled and suffocated
2	Suspicious fiber    NO PERPETRATOR    [[Sara]] he isolated the fiber found in zachary anderson 's throat
3	Baby smothering    Robbie Anderson    [[Tyler_Anderson]] what did you do , robbie ?
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Vehicular manslaughter  Lisa  [[Sgt._O'Riley]] girlfriend in the passenger seat called it in vehicular manslaughter
0	Hit-and-run death  NO PERPETRATOR  NO DIALOGUE
0	Coffee shop shooting  THE SHOOTER  [[Catherine]] ... in the front door ... shot the muscle first
1	Hit coffee shop shooting  THE SHOOTER  [[Dr._Albert_Robbins]] frankie flynn , 38 gunshot wounds to the head and the abdomen
1	Vehicular manslaughter suspect  NO PERPETRATOR  NO DIALOGUE
1	Murder suspect with blue blood  NO PERPETRATOR  [[Greg_Sanders]] your killer has fluorescent blue dots in his blood
2	Lice evidence in car  NO PERPETRATOR  [[Warrick]] creepy critters in the driver 's seat
2	Blood and scalp warrant  Adam Walkey  [[Grissom]] we 're going to comb your hair
2	Coffee shop shooting reconstruction  NO PERPETRATOR  [[Catherine]] what if the shooter was here when he shot big al ?
3	Hit-and-run with victim Brian Clemonds  Mark Rucker  [[Grissom]] according to adam walkey you were with him in his suv the other night and your head lice ... confirmed his statement
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Strip Strangler case	NO PERPETRATOR	[[Agent_Rick_Culpepper]] we 'll work the 'strip strangler ' case in conjunction
0	Eileen Snow assault and murder	NO PERPETRATOR	NO DIALOGUE
1	Hotel room murder - staged scene	Brad Walden	[[Grissom]] suspect
1	Glove evidence - possible weapon	NO PERPETRATOR	NO DIALOGUE
2	Cotton fibers gym towels	NO PERPETRATOR	NO DIALOGUE
2	Eileen Snow murder evidence tampering	Agent_Rick_Culpepper	[[Agent_Rick_Culpepper]] you 're tampering with evidence of the united states government there , mr stokes
3	Syd Goggle - murder and evidence tampering	Syd Goggle	[[Grissom]] planted evidence
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Tony Braun's overdose    NO PERPETRATOR    [[Brass]] drug overdose
1	Tony Braun's murder    Janine Haywood    [[Grissom]] ... and force-feed him a xanax cocktail
1	Duct tape prints unknown    NO PERPETRATOR    [[Mandy]] well , if their names are curt ritten and janine haywood the answer 's , 'no , it 's not their prints '
2	Curt Ritten's affair dispute    NO PERPETRATOR    [[Bonnie_Ritten]] so , you choose me or her ?
2	Tony Braun's murder timeline    Walt Braun    [[Grissom]] walt braun lied
3	Inheritance dispute and murder    NO PERPETRATOR    [[Brass]] i got motive
3	Earring evidence female suspect    NO PERPETRATOR    [[Grissom]] whoever 's prints are on the duct tape is missing an earring back
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Locker graffiti murder    NO PERPETRATOR    NO DIALOGUE
1	NO SUMMARY    NO PERPETRATOR    NO DIALOGUE
2	William Cartsen's death    NO PERPETRATOR    NO DIALOGUE
3	School shooting by counselor    Julia_Barett    [[Julia_Barett]] i just thought that one life was better than 20 ... or 30
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Ben Jennings murder    Benjamin Jennings    [[Sgt._O'Riley]] caught him red-handed
0	Shelley Danvers death    NO PERPETRATOR    NO DIALOGUE
0	Oliver Dunne strangulation    NO PERPETRATOR    NO DIALOGUE
1	Ben Jennings multiple bodies    Benjamin Jennings    [[Benjamin_Jennings]] i 'm not a bad person
1	Shelley Danvers heatstroke cover-up    NO PERPETRATOR    NO DIALOGUE
1	Shelley Danvers hotel records    NO PERPETRATOR    NO DIALOGUE
2	Multiple bodies excavation    NO PERPETRATOR    NO DIALOGUE
2	Oliver Dunne car found    NO PERPETRATOR    NO DIALOGUE
2	Benjamin Jennings criminal record    NO PERPETRATOR    NO DIALOGUE
3	Benjamin Jennings murders    Benjamin Jennings    [[Roger_Jennings]] ben did it
3	Shelley Danvers allergic reaction    Tina_Kolas    [[Warrick]] you killed her over a guy you two met at a bar ?
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Casino robbery and shooting	NO PERPETRATOR	NO DIALOGUE
0	Store clerk murder	Dustin Bale	[[Officer_Spencer]] dustin bale -- store clerk
1	Murder of Adam Brower	Red (killer)	[[Grissom]] that must be the one that killed brower
1	Murder of Adam Brower	Red (killer)	[[Warrick]] no honor among thieves
1	Store clerk murder	Tammy Felton	[[Catherine]] tammy felton
2	Potato silencer on bullet	Tammy Felton	[[Catherine]] there was potato on the bullet because there was potato inside the barrel of the gun
2	Casino robbery getaway car	Tammy Felton	[[Catherine]] it 's tammy
2	Silica dust evidence	NO PERPETRATOR	NO DIALOGUE
3	Murder of Darin Hanson	Darin Hanson	[[Grissom]] say hello to darin hanson
3	Casino mole Max Duncan	Max Duncan	[[Warrick]] pit boss ' name is max duncan
3	Corrupt cop Officer Spencer	Officer_Spencer	[[Catherine]] my bet , tammy made you an offer
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Casino chip scam    NO PERPETRATOR    NO DIALOGUE
1	Getaway car murder    NO PERPETRATOR    NO DIALOGUE
2	Keith Driscoll shooting    NO PERPETRATOR    [[Warrick]] man , brass did n't shoot this guy
3	Keith Driscoll murder    Marty_Gillmore    [[Warrick]] you shot driscoll ... ... with his firearm
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Gunshot wound mystery	Mike Kimble	[[Catherine]] oh , it 's not a john doe anymore [[Catherine]] database says that our victim is mike kimble age 38
1	Arson cover-up with blood stain	NO PERPETRATOR	[[Nick]] this fire is just a cover up
1	Mike Kimble's murder	Russ Bradley	[[Russ_Bradley]] i mean , i 'm the last person who would have killed him
2	Frozen meat bullet test	NO PERPETRATOR	[[Robbins]] the meat disintegrates
2	Boat ownership inquiry	NO PERPETRATOR	[[Jane_Bradley]] he wanted to borrow my ex-husband 's boat but he was too proud to ask
3	NO SUMMARY	NO PERPETRATOR	NO DIALOGUE
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Monica Newman murder	NO PERPETRATOR	[[Brass]] so what are we calling this , murder , suicide , what ?
0	Cal Newman drowning	NO PERPETRATOR	[[Nick]] i 'll go in the pool
1	Mandy Kirk attack	NO PERPETRATOR	[[David_Phillips]] so whoever did this to her also has e-coli
1	Cal Newman drowning	NO PERPETRATOR	[[Robbins]] he drowned
1	Monica Newman murder	NO PERPETRATOR	[[Grissom]] she had help
2	Cal Newman murder evidence	NICK	[[Nick]] some hairs , may have found a filling
2	Chuck Darwell poisoning	GREG	[[Greg]] oh , and pele used an interesting dressing
2	Cal Newman pool investigation	WARRICK	[[Warrick]] prints came back to the pool boy
2	Nicole Exmoor illness	NO PERPETRATOR	[[Lockwood]] school nurse said she could n't stop throwing up
3	Mandy Kirk murder	Nicole_Exmoor	[[Lockwood]] i 'm placing you under arrest for the murder of amanda kirk
3	Mildew infection	GREG	[[Greg]] you infected me with mildew ?
3	Murder for hire	Jeri_Newman	[[Catherine]] you hired him to kill your ex-husband and his new wife
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Magician's disappearance  NO PERPETRATOR  NO DIALOGUE
0	Gus Kenyon's death  NO PERPETRATOR  NO DIALOGUE
0	Stagehand Punky Dillinger  Punky_Dillinger  [[Punky_Dillinger]] i do
0	Gus Kenyon's cause  NO PERPETRATOR  NO DIALOGUE
1	Chamber of Doom print  NO PERPETRATOR  NO DIALOGUE
1	Gus Kenyon's phone search  NO PERPETRATOR  NO DIALOGUE
1	Missing phone book  NO PERPETRATOR  NO DIALOGUE
1	Hidden room discovery  NO PERPETRATOR  NO DIALOGUE
1	Zoe Clein's invention  NO PERPETRATOR  NO DIALOGUE
2	Samantha Dean connection  NO PERPETRATOR  NO DIALOGUE
2	Samantha Dean call  NO PERPETRATOR  NO DIALOGUE
2	Samantha Dean relationship  NO PERPETRATOR  NO DIALOGUE
2	Samantha Dean door scuff  NO PERPETRATOR  NO DIALOGUE
2	Zephyr's death cause  NO PERPETRATOR  NO DIALOGUE
3	Samantha Dean denies meeting Gus  Samantha_Dean  [[Nick]] we matched the paint from your door to the paint on gus 's ring
3	Samantha Dean's secret son  Samantha_Dean  [[Gus_Kenyon]] who 's that ?
3	Zephyr and Punky relation  NO PERPETRATOR  [[Warrick]] zephyr dillinger and punky the stagehand
3	Zephyr kills son Punky  Zephyr  [[Grissom]] zephyr murdered his son
3	Zephyr's confession  Zephyr  [[Zephyr]] no , i 'assumed ' her
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Murder on film    NO PERPETRATOR    [[Grissom]] that was a murder ... on 16 millimeter
1	Unidentified murder victim    NO PERPETRATOR    [[Grissom]] so he was probably murdered near some large animals
1	Skull reconstruction    NO PERPETRATOR    [[Teri_Miller]] your victim was born with trisomy of the twenty-first chromosome
1	DNA evidence from bulb    NO PERPETRATOR    [[Catherine]] i 'll process for dna , run it through codis
2	Body dump soil match    NO PERPETRATOR    [[Warrick]] this is sampson 's car , right ?
2	Spur matches broken piece    NO PERPETRATOR    NO DIALOGUE
2	Spur ownership identified    Billy Rattison    [[Pete_Banson]] do you have any idea who this spur could belong to ?
3	Susan Hodap stabbing    NO PERPETRATOR    [[Robbins]] susan hodap , 26
3	Corrosion timeline on spur    NO PERPETRATOR    [[Nick]] spur exposure time was exactly 17 months
3	Randy Traschel murder    Billy Rattison    [[Grissom]] mr rattison , want to explain this ?
scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Human hand found in meat   NO PERPETRATOR   NO DIALOGUE
0	Linda Damen suicide   NO PERPETRATOR   [[Det._'Sully'_Sulik]] girl 's name is linda damen , 23 , apparent suicide
0	Print ID of chef   NO PERPETRATOR   [[Grissom]] petrov samsko
1	Chef Petrov's murder   NO PERPETRATOR   [[Catherine]] i guess petrov was that until somebody killed him
