scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Tina Collins' distress                  	 NO PERPETRATOR                 	 [[Tina_Collins]] help me !
0          	 Male's stabbing death                   	 NO PERPETRATOR                 	 [[Grissom]] multiple stab wounds to the back and neck
1          	 Mrs. Collins' murder                    	 Teenager                       	 [[Nick]] probably a teenager
1          	 Sons' stabbing deaths                   	 Teenager                       	 [[Nick]] probably a teenager
1          	 Tire track evidence                     	 NO PERPETRATOR                 	 [[Warrick]] somebody came out of the house and got on what looks to be a step down from a motorcycle
2          	 Mrs. Collins' murder                    	 Jesse_Overton                  	 [[Warrick]] i dmv 'd it
2          	 Scooter tire evidence                   	 Jesse_Overton                  	 [[Warrick]] a kid four blocks away from the scene owns the same make
2          	 Match evidence link                     	 Jesse_Overton                  	 [[Nick]] houston , we have liftoff
3          	 Mr. Collins' sexual abuse               	 Mr. Collins                    	 [[Tina_Collins]] my father
3          	 Collins family murders                  	 Tina_Collins                   	 [[Tina_Collins]] i protected her
3          	 Getaway vehicle disposal                	 Jesse_Overton                  	 [[Brass]] this is the getaway vehicle
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Royce Harmon's staged suicide           	 NO PERPETRATOR                 	 [[Grissom]] turned out the suicide was staged
0          	 Stuart Rampler's murder                 	 NO PERPETRATOR                 	 [[Brass]] killer may have struck again
1          	 Royce Harmon's staged suicide           	 NO PERPETRATOR                 	 [[Grissom]] turned out the suicide was staged
1          	 Stuart Rampler's murder                 	 NO PERPETRATOR                 	 [[Brass]] killer may have struck again
1          	 Walter Banglor's accident               	 NO PERPETRATOR                 	 [[Warrick]] take his money
1          	 Suicide script pattern                  	 NO PERPETRATOR                 	 [[Catherine]] he's just reading from a suicide script
1          	 Birthday connection case                	 NO PERPETRATOR                 	 [[Grissom]] see if anything pops up with the same m.o
2          	 Royce Harmon's staged suicide           	 NO PERPETRATOR                 	 [[Grissom]] turned out the suicide was staged
2          	 Stuart Rampler's murder                 	 NO PERPETRATOR                 	 [[Brass]] killer may have struck again
2          	 Grissom's framed print                  	 Paul Millander                 	 [[Grissom]] he's got me under his thumb
2          	 ATM scam investigation                  	 NO PERPETRATOR                 	 [[Grissom]] there's our guy ... handing it off
2          	 Mystery dust analysis                   	 NO PERPETRATOR                 	 [[Greg_Sanders]] your mystery dust is ... silicon blue dye
3          	 Walter Banglor's robbery                	 Pool Player/Thug               	 [[Pool_Player]] hit him take everything he's got
3          	 ATM scam setup                          	 Paul Millander                 	 [[Grissom]] paul millander he set me up
3          	 John Millander's murder                 	 Hotel Security Guards          	 [[Sara]] father escorted into bathtub at gunpoint
3          	 Birthday pattern killings               	 Paul Millander                 	 [[Catherine]] killing men born on same day
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Security guard bombing                  	 NO PERPETRATOR                 	 NO DIALOGUE
0          	 Assault/Kidnapping attempt              	 Jack_Willman                   	 [[Jack_Willman]] you 're not going anywhere
1          	 Bombing investigation                   	 NO PERPETRATOR                 	 [[Catherine]] whoever did this is playing with us
1          	 Kristy Hopkins' murder                  	 NO PERPETRATOR                 	 [[Officer_Arvington]] dead prostitute
2          	 Kristy Hopkins' murder                  	 NO PERPETRATOR                 	 [[Catherine]] raccoon eyes excoriation around the neck
2          	 ThriftRight/Hansen bombings             	 Norman_Stirling                	 [[Sara]] well , those orange jackets over there appear to match the materials the bombs were wrapped in
3          	 Kristy Hopkins' murder                  	 Jack_Willman                   	 [[Jack_Willman]] i was her pimp
3          	 ThriftRight/Hansen bombings             	 Tyler_Stirling                 	 [[Tyler_Stirling]] i did it for you
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Zack's kidnapping                       	 NO PERPETRATOR                 	 [[Grissom]] i have your son ... and he 's just left us the first piece of the puzzle
1          	 Zack's kidnapping                       	 NO PERPETRATOR                 	 [[Grissom]] i have your son ... and he 's just left us the first piece of the puzzle
1          	 Zack's death                            	 NO PERPETRATOR                 	 [[Gwen_Anderson]] my baby !
2          	 Zack's death                            	 NO PERPETRATOR                 	 [[Dr._Albert_Robbins]] sternum was cracked
2          	 Zack's kidnapping                       	 Steve_Anderson                 	 [[Nick]] picked up a hint of some kind of booze
2          	 Zack's death                            	 NO PERPETRATOR                 	 [[Sara]] it's found in things that are made to be near fire and flames
3          	 Zack's accidental death                 	 Robbie_Anderson                	 [[Tyler_Anderson]] what did you do , robbie ? !
3          	 Staged kidnapping                       	 Steve_Anderson                 	 [[Steve_Anderson]] we wanted to protect robbie
scene_chunk	 case_summary                            	 perpetrator                    	 evidence_in_dialogue
0          	 Brian Clemonds' murder                  	 NO PERPETRATOR                 	 [[Sara]] that ended in murder
0          	 Corpse hit by car                       	 NO PERPETRATOR                 	 [[Grissom]] i think they ran over a corpse
0          	 Coffee shop massacre                    	 NO PERPETRATOR                 	 [[Catherine]] assuming flynn was the target , and it was a hit
1          	 Brian Clemonds' murder                  	 NO PERPETRATOR                 	 [[Sara]] that ended in murder
1          	 Frankie Flynn's hit                     	 NO PERPETRATOR                 	 [[Dr._Albert_Robbins]] shooter could have saved himself a lot of trouble if he 'd waited a month or two
1          	 Coffee shop massacre                    	 NO PERPETRATOR                 	 [[Catherine]] assuming flynn was the target , and it was a hit
1          	 Hit-and-run suspect ID                  	 NO PERPETRATOR                 	 [[Grissom]] what do you call a guy with blue-dotted blood , lice and keys to a ford explorer ?
2          	 Brian Clemonds' hit-and-run             	 Adam Walkey                    	 [[Grissom]] we have a suspect
